A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T
PD26415_2	3	3	0	2	3	1	1	10	7	1	0	4	8	2	0	17	1	1	0	2	0	0	0	0	1	0	1	1	3	1	0	3	1	4	9	1	3	2	3	3	3	5	1	4	5	4	0	3	1	2	2	5	3	0	2	2	0	0	1	2	5	0	0	4	6	2	7	5	4	3	4	7	5	1	2	4	7	5	3	5	2	1	4	4	2	3	4	18	1	0	2	7	9	0	4	17
PD26429_2	3	0	1	0	1	0	0	0	1	2	0	1	3	1	0	2	1	1	0	1	1	0	0	3	0	1	0	0	0	0	0	1	4	3	7	0	1	2	4	1	1	3	2	2	3	3	3	2	4	0	1	6	1	0	0	0	1	0	0	0	1	1	1	2	5	4	4	3	2	2	0	2	3	2	1	2	1	3	2	2	8	1	1	1	3	1	5	13	2	0	0	3	4	0	1	15
PD26416_2	3	1	0	2	3	0	0	2	3	2	0	3	1	4	0	4	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	2	4	2	6	3	4	3	7	3	3	1	5	3	2	4	1	7	0	3	1	4	0	1	2	1	0	0	2	1	2	0	1	2	8	0	2	4	2	4	7	4	6	1	2	1	0	0	0	4	1	0	2	0	0	0	1	6	0	0	0	3	2	1	1	3
V0D56W_1	18	13	2	10	17	7	0	10	4	10	0	7	14	8	2	22	9	3	2	6	7	5	1	10	3	3	1	5	17	6	0	28	18	15	16	9	14	8	8	14	8	12	5	16	66	39	8	54	9	10	11	19	5	5	9	6	3	2	3	2	16	1	7	12	19	9	19	21	6	5	12	16	13	5	4	11	18	6	6	9	10	0	3	5	4	3	6	17	2	3	7	9	18	2	8	8
V0D56W_subclonal	1	2	1	1	5	2	1	3	2	1	1	2	1	2	0	1	1	2	1	3	0	0	1	0	0	1	0	1	2	5	0	1	3	2	1	1	2	1	1	2	1	5	3	1	9	6	1	5	5	1	1	3	1	1	0	1	1	1	2	0	11	0	0	3	2	2	1	0	0	1	1	2	1	2	0	2	1	1	0	1	1	0	0	1	0	0	2	0	1	0	1	2	1	1	2	2
V0D56W_2	5	2	0	2	1	0	1	1	1	0	1	0	3	1	1	8	0	2	0	2	0	0	0	1	2	0	0	0	1	1	0	2	0	2	6	5	2	2	4	6	1	0	7	2	5	4	2	2	3	1	3	3	1	0	1	2	0	0	1	1	3	2	0	1	2	2	3	1	3	1	1	3	1	0	0	1	3	1	3	7	7	0	1	2	5	2	2	3	0	2	0	3	7	0	2	5
PD26416_1	14	12	4	9	11	10	2	10	6	6	2	4	19	6	1	14	8	4	0	6	2	2	0	2	3	3	0	3	5	5	0	6	12	7	23	12	14	6	7	13	5	9	23	9	22	21	11	12	9	3	10	14	7	4	9	6	1	1	4	4	2	0	2	3	19	9	9	10	3	2	8	5	8	3	5	10	5	3	5	9	7	2	2	4	6	1	0	7	0	0	2	2	2	0	3	9
PD26416_subclonal	14	5	2	6	11	4	1	9	15	3	2	6	14	6	2	21	8	3	0	5	4	2	2	4	4	5	1	4	9	1	0	5	9	8	8	14	10	11	7	18	11	11	12	15	18	15	5	10	12	1	4	6	3	4	4	7	10	0	5	5	12	2	1	6	13	0	6	9	6	1	2	2	15	6	2	7	10	5	2	9	2	0	1	2	1	1	2	4	3	1	0	1	4	2	6	7
PD26426_1	52	41	5	44	60	34	7	48	61	24	6	45	52	46	4	101	25	16	3	16	21	11	0	17	11	9	3	12	23	21	4	29	56	27	67	47	44	30	41	39	32	31	82	33	40	37	28	53	20	15	20	46	12	16	29	32	11	9	15	14	43	21	16	37	63	22	42	38	18	32	25	33	25	19	20	34	30	40	18	30	14	9	9	19	12	14	12	36	5	4	12	9	10	11	16	27
PD26426_2	1	4	0	2	6	1	1	2	5	1	1	3	4	2	1	14	1	1	0	4	0	0	0	1	0	2	0	2	1	0	0	2	4	3	6	4	5	6	7	2	5	3	9	2	5	3	12	2	4	0	2	3	2	0	2	1	0	0	1	1	6	2	2	6	7	4	2	5	3	4	4	11	4	2	3	6	9	5	2	11	4	0	0	6	9	1	4	11	1	1	0	5	16	1	4	19
V0D57H_subclonal	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	1	1	1	3	0	1	0	0	1	1	0	2	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
MMRC02GIBM_subclonal	4	3	0	1	2	0	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0	1	0	0	5	3	0	3	0	1	2	1	0	3	2	0	0	5	1	2	9	5	0	1	5	3	1	2	1	3	0	2	0	12	0	1	3	4	0	2	2	1	1	5	2	0	1	1	2	1	1	3	6	2	0	1	4	1	0	2	2	0	0	2	1	0	0	1	1
MMRC02GIBM_2	2	2	0	0	3	3	0	0	7	0	1	2	4	1	0	8	2	2	0	0	0	0	0	1	0	0	0	4	0	2	0	0	4	1	10	4	2	5	4	7	3	2	7	3	1	1	4	3	5	0	0	5	1	1	1	0	2	0	0	1	5	1	2	1	8	4	5	5	6	0	5	1	1	7	1	3	5	4	3	6	4	1	0	7	1	0	1	6	0	0	3	7	3	0	0	1
MMRC02GIBM_1	8	8	1	4	6	2	0	3	3	4	1	8	6	7	2	17	3	3	0	8	4	2	0	2	2	3	0	3	1	2	1	4	16	5	16	17	4	8	7	15	8	4	16	4	18	18	8	21	10	3	11	12	2	1	2	8	3	3	3	2	16	1	5	7	22	3	11	17	5	5	10	7	8	11	5	10	8	12	4	14	12	2	4	6	7	0	5	10	2	5	3	7	11	1	2	12
PD26426_subclonal	4	1	0	1	5	4	1	2	3	1	0	2	5	1	0	8	0	0	0	1	0	2	0	0	0	0	0	2	2	0	0	3	2	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	2	0	0	4	1	0	2	1	0	1	0	2	3	2	1	4	3	1	2	0	0	1	0	0	4	2	1	0	0	3	0	2	0	0	3	1	0	0	1	2	0	0	0	1	1	0	1	3
PD26429_subclonal	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PD26418_subclonal	1	6	2	2	3	3	2	2	3	2	1	3	4	0	0	2	4	1	1	0	2	2	1	1	0	3	0	1	0	4	2	3	3	1	0	6	2	0	0	6	2	1	0	0	4	1	2	4	2	0	3	3	0	0	1	4	1	1	3	1	2	1	1	5	2	0	3	6	4	2	1	5	1	0	1	1	5	5	0	2	1	2	0	0	3	0	3	1	1	1	2	0	1	2	2	1
PD26410_subclonal	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	1	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MMRC00GABM_1	16	12	3	6	14	5	1	6	7	5	2	8	10	5	2	16	7	1	0	9	7	4	0	4	4	2	0	1	4	4	1	13	15	15	24	12	9	11	11	16	8	13	18	13	26	24	8	36	11	7	11	17	9	1	9	7	2	0	3	4	17	3	2	13	16	3	7	21	6	7	8	5	12	7	8	9	8	13	3	10	5	0	3	4	6	2	4	17	1	2	3	3	15	1	6	10
MMRC00GABM_subclonal	8	0	0	3	6	0	1	5	3	3	1	1	1	5	0	9	1	1	1	1	1	2	0	1	2	0	0	0	5	2	1	9	7	5	3	6	5	3	2	6	3	1	4	3	16	8	3	9	6	2	5	8	0	0	3	2	0	1	0	0	15	3	3	1	4	1	6	8	2	1	1	3	1	2	1	4	8	3	2	6	3	2	1	3	2	2	1	2	2	0	1	0	1	2	4	9
MMRC00GABM_2	6	1	0	2	2	0	0	0	3	2	1	2	5	0	0	8	1	1	0	0	1	0	0	2	0	0	0	1	0	0	1	3	8	1	7	2	5	3	6	2	5	1	5	4	4	1	3	2	10	1	2	2	2	1	3	0	1	1	4	2	3	1	0	1	4	4	4	10	7	0	3	4	2	2	1	3	7	2	2	7	9	1	1	1	4	3	6	3	2	1	2	3	8	3	2	10
PD26418_1	1	0	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	4	1	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0
PD26418_2	3	0	0	1	0	1	1	0	0	1	0	0	0	0	1	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	3	1	0	3	3	2	0	1	2	3	1	2	1	1	1	1	0	0	2	2	0	2	1	2	0	0	1	1	0	0	1	1	5	0	2	0	1	2	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	3
PD26418_3	0	0	0	0	1	0	1	2	0	0	0	1	2	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	2	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0
V0D58T_1	22	13	0	14	27	6	3	18	13	9	0	13	12	10	2	25	12	6	0	2	8	3	0	7	16	5	1	4	12	8	3	10	19	20	19	12	19	9	14	18	18	22	15	15	36	24	16	51	9	7	1	8	8	3	4	11	7	4	3	6	25	5	2	10	31	6	10	15	10	1	6	8	11	4	10	15	15	8	6	11	6	2	2	6	9	1	3	12	6	1	3	6	19	3	6	23
V0D58T_2	2	2	0	1	2	1	1	1	7	0	0	0	5	1	0	5	2	1	0	1	0	1	0	0	0	0	0	1	1	0	0	3	7	0	7	3	3	2	7	0	1	2	9	1	5	3	1	5	3	1	1	1	0	0	2	0	1	1	2	1	4	2	0	2	2	3	5	6	2	3	4	3	6	0	0	2	1	3	0	1	4	0	1	4	2	0	2	3	1	0	2	6	11	1	2	8
V0D58T_subclonal	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V0D577_2	3	5	0	2	5	1	1	2	1	2	1	2	4	1	0	10	1	1	0	0	1	1	1	2	0	1	0	1	4	0	0	3	4	3	4	0	2	2	3	0	1	1	0	2	2	3	2	3	1	3	1	2	1	0	0	2	0	0	2	2	4	1	4	3	1	2	1	4	0	2	1	4	2	0	1	1	1	3	2	4	4	0	0	1	0	0	0	3	1	1	0	2	4	2	2	6
V0D577_subclonal	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	2	3	2	0	0	0	0	0	0	0	0	1	1	6	2	0	3	1	1	1	1	0	0	0	3	0	1	0	1	2	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	3	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2
V0D577_1	1	1	1	1	2	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	0	0	1	0	2	1	0	0	0	2	2	0	1	3	0	0	2	1	0	0	0	1	0	0	0	1	1	1	3	2	0	0	1	0	2	0	0	0	0	0	0	1	1	1	3	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1
PD26424_1	19	18	2	12	22	18	0	13	6	3	2	10	12	15	2	20	13	6	1	8	4	5	3	3	6	8	0	8	10	6	1	15	22	12	19	19	28	14	15	24	17	13	26	18	66	35	10	50	13	13	8	19	7	4	4	16	2	3	5	10	20	3	13	18	20	18	10	30	12	14	14	11	15	7	9	17	12	19	13	16	39	8	4	12	10	4	5	21	7	0	5	6	34	6	15	37
PD26424_2	3	2	0	3	7	2	2	3	2	6	1	9	10	7	0	10	8	1	2	6	4	1	0	1	0	0	0	1	3	4	1	7	5	2	7	2	3	2	8	3	7	2	8	2	15	5	3	9	9	0	2	8	2	0	4	4	4	0	1	1	12	1	8	7	8	4	5	8	6	5	8	12	6	6	4	11	7	4	8	11	28	1	3	10	18	1	3	10	5	1	4	2	57	2	5	17
PD26424_subclonal	6	2	3	1	3	4	0	4	4	1	0	3	6	2	0	2	3	2	1	3	0	1	1	3	3	2	0	1	1	1	0	5	3	2	3	6	4	2	0	6	2	2	4	1	13	5	0	10	3	1	2	3	1	4	4	4	0	0	2	0	0	1	0	1	7	1	3	4	1	3	1	2	2	1	1	2	1	3	5	2	1	0	3	1	0	2	5	4	0	1	0	5	6	2	2	0
PD26423_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PD26409_2	1	2	0	1	0	2	2	2	0	1	0	1	2	2	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	4	1	7	2	5	0	1	4	1	0	6	0	1	1	2	1	3	0	1	3	0	0	1	0	0	1	0	1	2	0	1	1	1	2	0	0	0	1	4	5	0	1	1	4	1	0	0	2	2	0	1	4	0	0	3	8	0	0	0	3	2	2	0	4
PD26409_subclonal	5	5	2	4	3	2	0	0	0	1	0	1	1	1	0	2	2	1	1	1	0	2	0	0	0	2	0	0	2	2	0	1	2	1	3	2	3	2	5	3	4	2	2	0	9	9	2	6	1	1	1	1	1	1	1	1	3	1	0	1	2	2	0	3	2	0	2	1	0	1	1	4	2	3	0	1	4	3	5	1	3	0	4	0	0	0	1	2	0	0	1	0	2	1	0	1
PD26409_1	5	8	0	6	9	9	0	5	4	6	0	3	7	8	0	10	3	3	1	3	7	2	0	6	2	3	1	4	5	2	1	8	14	5	8	13	6	7	6	12	8	9	15	7	20	9	6	18	5	0	8	10	3	4	5	6	3	3	4	1	5	3	4	5	22	3	8	9	4	6	8	11	3	5	5	12	5	7	4	11	4	3	5	6	5	2	3	11	1	0	4	5	5	4	7	4
MMRC01Q1BM_1	17	17	3	13	14	8	1	13	12	6	0	10	20	11	4	19	8	4	2	7	4	4	0	1	5	5	0	5	7	11	0	11	28	15	22	19	21	13	8	17	16	14	20	10	21	27	10	42	13	5	17	15	5	7	7	11	7	5	5	5	16	2	8	16	19	17	20	19	15	6	9	6	6	6	6	13	12	13	9	17	19	6	7	10	9	5	13	13	8	2	14	12	10	10	6	17
MMRC01Q1BM_2	5	5	0	7	5	2	0	0	2	2	0	0	3	1	2	9	3	0	2	4	3	3	0	0	1	0	1	1	0	0	0	1	6	5	6	1	4	10	5	3	4	5	8	3	4	4	4	8	6	1	0	6	2	1	1	1	1	2	1	2	2	2	6	5	5	1	6	4	4	1	5	7	4	5	3	2	4	4	1	8	8	0	1	8	5	1	0	8	2	3	0	2	8	0	3	6
MMRC01Q1BM_subclonal	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MMRC00GABM_3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	3	0	1	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
PD26432_2	1	0	2	1	5	7	1	4	7	1	0	4	12	3	0	15	2	2	1	1	0	1	1	1	3	2	0	8	0	2	0	3	10	1	21	4	5	5	11	4	9	5	13	8	9	6	6	11	5	1	5	10	2	2	0	7	1	0	1	3	13	0	7	10	8	5	3	10	6	6	9	10	12	3	7	7	7	6	7	9	19	3	1	10	16	4	7	31	8	2	1	13	38	8	6	25
PD26432_1	9	9	0	7	7	8	3	10	7	5	3	5	18	9	1	18	7	4	0	5	2	2	2	2	0	3	0	2	5	2	0	8	11	7	26	9	12	7	28	10	5	15	18	7	16	11	11	13	12	9	2	16	6	5	6	11	3	2	3	5	12	2	8	5	19	8	15	20	10	6	11	9	10	12	9	7	12	8	3	17	26	4	3	14	18	3	11	31	2	1	2	16	40	3	9	21
PD26432_subclonal	4	5	0	4	0	0	0	3	1	0	1	0	2	0	0	5	5	0	1	2	0	1	0	0	2	1	1	1	1	3	0	2	4	2	1	2	2	5	4	3	5	4	3	0	9	3	2	4	0	0	1	6	1	2	1	4	0	0	1	1	3	3	0	1	4	0	1	0	2	0	1	0	3	2	1	3	4	2	2	1	0	0	0	1	3	0	1	4	0	1	1	1	2	0	2	0
