A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T
MMRC01YHBM_2_chr11_chr11-302191-134944160-gain	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	3	1	1	1	1	0	4	2	1	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	2	0	1	1	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
PD26410_1_chr11_chr11-197337-93870821-gain_2	5	3	0	0	4	1	0	2	4	3	0	2	2	5	0	2	2	0	0	0	0	1	0	1	1	0	0	2	2	0	0	1	8	0	7	2	4	3	3	6	6	3	1	1	9	4	2	10	0	1	1	2	0	1	0	3	0	0	1	1	2	0	0	0	2	2	1	3	2	3	0	2	1	0	1	3	0	4	1	5	0	1	1	2	2	0	2	2	1	0	0	1	2	2	1	3
PD26418_2_chr11_chr11-69443822-113817468-gain_3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
PD26426_2_chr11_chr11-196944-134945765-gain	0	0	0	1	2	0	0	0	2	1	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	1	0	1	0	0	1	3	0	3	1	2	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	2	1	0	1	3	1	0	1	0	1	0	0	1	1	0	0	1	5	0	0	1	0	0	0	0	2	1	0	1
V0D56W_2_chr11_chr11-200289--134944160-gain	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	2	1	0	0	0	0	0	1	1	0	0	1
PD26410_3_chr11_chr11-197337-93870821-gain_2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	3	0	0	2	1	1	1	0	0	0	0	1	1	2	1	1	1	0	0	0	2	1	1	0	0	1	1	1	1
PD26429_1_chr11_chr11-199813-134940252-gain	2	0	1	2	4	1	0	0	4	1	1	0	5	2	1	5	1	1	0	0	1	0	0	1	1	1	0	1	1	4	1	3	12	4	8	4	3	5	8	4	5	2	8	7	4	10	5	7	0	1	0	0	1	0	1	4	2	3	0	2	5	0	1	1	1	1	4	5	0	3	2	3	1	4	0	4	3	3	1	3	1	1	1	1	4	0	4	3	1	1	1	2	10	0	0	6
V0D57H_2_chr11_chr11-97481883-104974826-gain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MMRC02GIBM_2_chr11_chr11-47840622-134944160-gain	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	2	1	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	3	0	2	1	0	2	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0
PD26410_2_chr11_chr11-197337-93870821-gain_2	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	2	0	1	2	0	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
V0D57H_2_chr11_chr11-69448294-91721514-gain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD26429_2_chr11_chr11-199813-134940252-gain	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	2	0	0	0	0	0	0	2	5	0	0	0	0	1	0	1	6
MMRC02GIBM_1_chr11_chr11-47840622-134944160-gain	1	1	0	0	1	0	0	0	1	2	0	1	2	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	0	1	3	1	1	0	1	3	0	1	0	5	1	2	3	1	0	1	2	0	0	0	2	0	0	1	0	3	0	1	1	3	1	1	0	1	0	1	0	2	3	1	1	1	3	0	4	2	0	1	3	0	0	1	2	0	2	0	2	1	0	0	0
PD26435_1_chr11_chr11-196944-134891193-gain	7	6	1	5	5	9	1	2	1	5	0	3	4	3	1	6	5	1	0	4	1	1	0	3	2	1	0	2	0	1	0	0	4	1	3	4	2	5	4	5	4	7	4	5	6	7	3	8	2	1	2	7	3	2	3	0	2	1	2	2	2	1	2	1	1	4	3	3	3	3	5	1	2	0	1	1	8	0	0	2	3	3	0	1	0	0	1	1	1	0	0	2	3	1	0	4
MMRC00GABM_1_chr11_chr11-198986-134775317-gain	4	3	0	1	1	1	0	2	1	1	0	0	1	1	0	5	1	0	0	0	0	1	0	0	1	1	0	0	0	2	0	2	3	1	5	3	2	3	3	4	0	3	3	2	4	5	3	10	5	2	0	2	1	0	2	2	1	0	0	0	2	0	0	8	2	0	2	2	2	3	3	1	4	2	2	2	1	4	0	3	2	0	0	1	1	0	1	1	0	0	1	0	3	0	0	2
PD26435_2_chr11_chr11-196944-134891193-gain	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	1	2	1	1	0	2	0	0	0	1	0	3	2	0	0	0	3	1	0	2	2	1	2	0	0	1	2	0	1	0	1	2	1	1	0	0	1	1	0	2	1	1	0	0	1	0	1	1	1	0	1	1	1	0	2	1	2	0	0	0	1	2	0	1	4	0	0	0	0	0	0	0	2
MMRC00GABM_2_chr11_chr11-198986-134775317-gain	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	2	0	2	0	2	0	1	0	1	1	2	1	1	0	0	0	3	1	1	4	2	0	0	3	0	0	0	2	3	2	1	2	4	1	1	0	1	1	0	1	2	0	1	2	2	2	0	1
V0D58T_1_chr11_chr11-64060976-122535611-gain	5	2	0	1	4	2	0	2	2	3	0	3	0	1	0	3	3	1	0	0	0	0	0	1	3	0	0	0	2	0	1	3	2	2	3	0	1	0	0	3	3	0	3	0	7	2	0	7	1	0	0	0	1	1	0	0	0	1	2	2	4	1	0	0	2	1	1	4	1	0	1	0	1	0	1	3	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	1	2
V0D58T_2_chr11_chr11-64060976-122535611-gain	0	1	0	1	0	0	0	0	3	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	1	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1
PD26415_1_chr11_chr11-198986-134927519-gain	1	0	0	0	0	0	0	0	0	1	0	1	2	1	0	7	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	3	1	0	1	0	1	2	0	0	2	0	1	2	2	1	0	0	1	0	2	0	0	0	0	0	1	1	0	2	2	4	1	0	0	0	0	1	0	1	1	1	0	2	1	0	1	1	0	0	1	1	0	0	5	1	0	0	1	3	2	0	5
PD26415_2_chr11_chr11-198986-134927519-gain	2	0	0	0	1	0	0	3	1	0	0	2	3	1	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	2	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	2	1	3	1	1	1	0	2	0	1	0	2	0	0	3	0	0	1	1	3	0	0	0	2	3	0	0	2
PD26416_1_chr11_chr11-50094680-134939568-gain	1	1	1	0	0	1	0	0	0	0	1	1	3	0	0	1	1	0	0	3	1	1	0	0	0	0	0	0	0	1	0	0	1	1	3	0	5	0	0	2	0	5	2	0	2	3	4	0	1	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
PD26416_2_chr11_chr11-50094680-134939568-gain	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
MMRC023ZBM_1_chr11_chr11-74648411-131468095-gain_2	0	1	0	0	2	1	0	0	0	0	0	1	2	1	0	2	2	1	0	0	1	1	0	2	0	0	0	2	2	1	0	1	2	2	1	3	6	3	0	3	3	0	3	2	5	1	1	2	3	0	0	0	0	2	0	2	2	0	0	1	2	2	0	3	4	1	2	3	2	0	0	2	5	0	0	2	3	2	2	0	0	1	0	0	2	0	0	2	1	0	1	0	3	0	0	2
MMRC023ZBM_2_chr11_chr11-74648411-131468095-gain_2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	2	0	0	0	2	1	0	1	2	1	0	1	0	9	1	0	2	2	0	1	0	5	1	2	4	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	1	1	0	2	1	0	0	0	0	1	0	2	2	1	1	1	1	1	0	0	0	0	0	0	1	3	1	0	0
MMRC023ZBM_1_chr11_chr11-51192870-74620897-gain	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	1	0	0	0	2	1	0	2	0	1	1	0	0	0	0	1	0	0	0	0	3	3	0	1	0	3	1	1	1	0	1	1	1	0	0	2	1	0	3	0	0	0	0	0	0	0	0	2	3	0	1	2	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1
MMRC023ZBM_2_chr11_chr11-51192870-74620897-gain	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD26408_2_chr11_chr11-196944-80595045-gain	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	2	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	2	1	2	0	2	0	1	1	0	0	0	0	1	1	0	0	1	2	0	0	1
PD26408_1_chr11_chr11-196944-80595045-gain	0	1	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	1	0	2	0	1	0	1	0	1	0	0	1	0	0	0	0	0	3	0	0	0	3	2	1	1	4	3	2	1	2	0	0	1	0	2	0	1	0	1	0	1	0	0	1	0	0	0	1	0	2	2	0	3	0	0	0	0	0	0	1	1	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2
MMRC006BBM_1_chr12_chr12-207857-119440825-gain	8	1	2	2	3	3	2	3	3	0	0	2	9	7	2	9	3	0	2	2	3	1	0	2	0	0	1	1	29	8	2	42	7	2	3	4	5	4	5	4	4	2	2	7	109	21	13	53	5	1	2	3	4	5	1	6	7	1	0	2	9	1	2	5	5	2	1	3	2	2	6	1	2	0	0	3	4	1	2	3	3	0	1	2	2	0	1	0	1	1	4	1	4	1	0	5
MMRC006BBM_2_chr12_chr12-207857-119440825-gain	1	2	0	2	1	3	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	2	3	0	1	3	0	3	0	0	0	1	0	0	1	3	1	1	1	0	2	2	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1
PD26403_2_chr12_chr12-197129-133801207-LOH	0	0	0	0	0	2	0	1	3	0	0	3	0	2	1	1	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	3	2	1	1	4	0	0	2	2	2	0	0	3	2	1	0	0	1	0	0	2	1	0	0	0	0	2	0	0	0	4	0	1	2	0	2	0	0	3	0	0	1	2	2	0	2	2	0	0	3	0	1	0	2	1	0	0	0	2	0	2	5
PD26403_1_chr12_chr12-197129-133801207-LOH	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	6	0	4	1	1	1	3	4	2	2	1	2	0	3	1	2	1	0	0	1	0	2	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MMRC006BBM_1_chr13_chr13-24539866-114986609-LOH	1	1	3	1	0	1	0	1	0	0	0	1	5	2	0	4	0	1	0	0	3	2	1	1	2	2	0	1	22	7	0	21	2	0	0	0	6	1	0	1	4	1	4	1	66	12	6	31	4	0	3	1	0	0	2	3	4	0	0	1	2	0	0	1	1	0	1	3	1	0	2	2	1	0	0	1	1	2	1	1	0	0	0	0	2	0	1	0	2	0	1	0	4	0	1	2
MMRC006BBM_2_chr13_chr13-24539866-114986609-LOH	3	1	0	0	0	2	0	1	1	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	1	1	1	0	1	1	2	0	3	3	0	0	0	2	2	1	0	3	0	1	0	1	1	0	0	1	2	0	0	2	0	1	0	0	0	0	0	1	2	0	0	2	0	0	0	2	1	1	2	1	0	0	2	1	1	0	0	2
MMRC02G7BM_2_chr13_chr13-19456300-114968298-LOH	2	3	0	0	4	3	0	2	4	3	0	0	2	4	2	6	0	1	0	1	3	0	0	2	0	1	0	1	0	1	0	1	7	5	0	5	5	1	1	2	1	1	0	3	10	4	0	10	2	3	1	2	2	1	1	1	1	0	0	1	2	0	1	5	2	0	2	3	0	1	1	2	2	1	4	2	3	1	3	3	3	0	1	0	2	2	0	2	1	1	0	3	7	1	0	2
V0D577_2_chr13_chr13-19451600-114999838-LOH	1	4	0	1	2	1	1	2	0	2	1	1	2	1	0	7	0	1	0	0	0	1	0	2	0	0	0	0	4	0	0	3	3	3	3	0	0	0	1	0	1	1	0	1	1	1	2	2	0	0	1	1	0	0	0	0	0	0	2	1	1	0	3	2	1	1	1	1	0	1	1	2	1	0	0	1	0	0	2	2	2	0	0	1	0	0	0	1	0	1	0	2	4	1	0	2
V0D577_1_chr13_chr13-19451600-114999838-LOH	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1
MMRC02G7BM_1_chr13_chr13-19456300-114968298-LOH	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	3	0	0	0
V0D583_2_chr13_chr13-30159194-82929031-LOH	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	3	0	1	1	1	2	4	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	2	0	0	1	1	1	2	2	0	1	0	0	0	1	0	0	1	0	0	0	0	2
V0D583_1_chr13_chr13-30159194-82929031-LOH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V0D57H_1_chr14_chr14-20437981-58450902-gain	6	5	0	6	3	5	0	11	2	2	0	2	1	5	0	4	3	1	0	0	0	0	0	0	0	0	0	3	0	1	0	6	3	0	0	3	1	1	2	4	1	1	0	1	7	6	1	8	3	2	1	7	2	3	4	7	0	0	2	5	3	2	1	5	1	2	1	2	1	2	0	4	0	0	2	2	2	2	1	3	2	0	2	0	0	1	3	1	0	1	0	3	2	0	4	1
MMRC006BBM_2_chr14_chr14-20456825-107289436-gain	3	1	0	1	3	3	0	5	5	0	0	3	5	2	0	6	3	1	0	1	1	1	0	1	1	0	0	1	10	2	0	15	0	2	6	2	2	2	3	5	0	0	1	4	48	11	4	21	1	1	0	1	3	1	2	6	2	1	1	2	0	0	1	1	3	0	1	1	2	1	0	0	2	0	1	1	2	1	0	2	3	0	1	0	1	1	1	1	1	1	0	0	4	0	0	0
MMRC006BBM_3_chr14_chr14-20456825-107289436-gain	4	0	0	2	2	1	0	1	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	2	0	0	1	1	1	0	0	0	5	1	0	3	2	0	1	1	1	1	0	1	1	0	2	1	0	0	1	0	2	0	1	0	0	0	1	3	0	0	1	0	2	1	1	0	2	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0
MMRC006BBM_1_chr14_chr14-20456825-107289436-gain	2	2	0	1	3	0	0	1	0	1	0	1	6	3	0	2	1	0	0	1	3	0	0	1	0	0	1	0	13	3	0	5	2	1	1	0	4	0	0	3	1	0	1	6	26	5	3	18	0	2	0	1	2	0	0	1	0	0	0	2	3	0	0	2	2	1	1	1	0	1	0	1	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	2
PD26424_1_chr14_chr14-25346317-52239715-gain_2	2	0	0	2	0	3	0	0	2	1	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	2	0	1	0	1	1	5	1	8	5	1	7	0	1	0	3	0	0	0	2	1	0	0	0	0	0	1	1	1	1	0	3	0	1	0	0	1	0	0	1	1	1	1	2	3	2	0	0	0	0	2	1	0	0	0	0	2	0	0	1
PD26424_2_chr14_chr14-25346317-52239715-gain_2	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	4	0	0	2
V0D57H_2_chr14_chr14-20437981-58450902-gain	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0
PD26424_1_chr14_chr14-81035446-107267719-gain_2	1	1	0	0	2	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	2	1	0	2	1	0	0	1	1	0	3	3	1	0	4	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	2	2	3	2	3	1	2	0	1	1	0	0	1	0	1	1	0	5	0	0	0	0	0	0	3	1	0	0	1	1	0	0	4
V0D57H_1_chr14_chr14-74810242-103874803-gain	0	2	0	4	2	5	1	5	0	0	0	3	1	3	0	0	0	2	0	2	1	0	1	0	0	2	0	1	3	2	0	3	1	1	0	3	2	1	2	4	0	2	2	1	2	4	1	9	0	1	2	3	3	1	2	3	1	0	0	4	3	2	1	2	3	0	0	3	2	0	1	1	2	0	2	0	0	2	0	2	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0
PD26423_3_chr14_chr14-20425051-107289436-gain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PD26423_1_chr14_chr14-20425051-107289436-gain	1	3	0	1	0	0	0	2	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	4	1	1	3	1	1	2	1	1	0	3	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
PD26423_2_chr14_chr14-20425051-107289436-gain	3	0	0	0	1	0	0	2	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	3	2	1	1	0	1	1	1	0	2	0	2	1	2	2	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	2	0	0	1	1	0	1	0	3	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
PD26424_2_chr14_chr14-81035446-107267719-gain_2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1
V0D57H_2_chr14_chr14-74810242-103874803-gain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
PD26429_1_chr15_chr15-20001861-102327049-gain	2	2	0	0	0	1	0	0	1	1	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	1	1	1	3	1	0	4	3	2	3	2	3	2	2	1	4	0	2	1	4	7	4	3	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	3	3	1	1	5	1	2	2	2	2	2	0	2	1	2	3	0	1	0	0	1	2	0	1	1	0	0	0	0	2	0	0	2
MMRC01Q1BM_1_chr15_chr15-42245652-102403326-gain	2	0	1	1	1	1	0	1	1	2	0	1	1	2	1	1	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	1	6	1	5	0	0	0	1	1	5	1	1	0	1	1	1	6	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	2	1	0	0	0	0	1	2	1	1	2	2	0	0	1	1	0	0	0	0	0	1	2	1	0	1	4
V0D58T_2_chr15_chr15-20010372-102431166-gain	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
V0D58T_1_chr15_chr15-20010372-102431166-gain	4	5	0	4	4	0	2	1	2	2	0	1	2	4	1	6	2	1	0	2	2	1	0	0	2	2	0	1	2	3	0	0	4	2	4	4	2	1	7	3	2	8	1	4	5	3	3	4	1	0	0	2	2	0	1	3	0	2	0	0	2	2	1	3	2	1	3	3	0	0	0	1	4	0	2	2	0	3	2	1	1	0	1	2	2	1	0	2	1	0	2	0	4	0	1	6
MMRC00GABM_2_chr15_chr15-20001774-102431166-gain_2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	1	1	2	1	2	1	2	0	1	2	1	0	0	1	5	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	2	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
